titre,publications,somme_partages,moyenne_partages,somme_reactions,moyenne_reactions,somme_commentaires,somme_likes_commentaires,somme_commentaires_commentaires,moyenne_commentaires,engagement_total,engagement_moyen,annee
ICI Gaspésie-Les-Îles,654,36224,55.39,36706,56.13,5376,1510,3003,15.12,82819,126.63,2017
ICI Gaspésie-Les-Îles,594,38709,65.17,27037,45.52,3537,654,1938,10.32,71875,121.00,2016
ICI Gaspésie-Les-Îles,592,6435,10.87,5916,9.99,610,117,398,1.90,13476,22.76,2015
ICI Gaspésie-Les-Îles,306,276,0.90,1155,3.77,419,5,115,1.76,1970,6.44,2014
ICI Gaspésie-Les-Îles,581,715,1.23,983,1.69,411,0,73,0.83,2182,3.76,2013
ICI Grand Montréal,690,51035,73.96,43927,63.66,7712,5123,9703,32.66,117500,170.29,2017
ICI Grand Montréal,593,44054,74.29,38189,64.40,9122,3180,8475,35.04,103020,173.73,2016
ICI Grand Montréal,598,12007,20.08,12566,21.01,2226,1607,4851,14.52,33257,55.61,2015
ICI Grand Montréal,186,684,3.68,552,2.97,207,20,77,1.63,1540,8.28,2014
ICI Grand Montréal,593,3633,6.13,2872,4.84,2031,193,1098,5.60,9827,16.57,2013
ICI Mauricie Centre-du-Québec,627,21748,34.69,23308,37.17,3705,1817,2311,12.49,52889,84.35,2017
ICI Mauricie Centre-du-Québec,598,25615,42.83,25696,42.97,3252,1243,2273,11.32,58079,97.12,2016
ICI Mauricie Centre-du-Québec,587,9466,16.13,8884,15.13,1732,439,1289,5.89,21810,37.16,2015
ICI Mauricie Centre-du-Québec,589,16631,28.24,7524,12.77,1525,133,1629,5.58,27442,46.59,2014
ICI Mauricie Centre-du-Québec,587,954,1.63,2245,3.82,640,30,240,1.55,4109,7.00,2013
ICI Ottawa Gatineau,667,88279,132.35,47646,71.43,12753,3433,11467,41.46,163578,245.24,2017
ICI Ottawa Gatineau,593,20098,33.89,16345,27.56,3053,800,2009,9.89,42305,71.34,2016
ICI Ottawa Gatineau,583,9016,15.46,10325,17.71,2024,523,1466,6.88,23354,40.06,2015
ICI Ottawa Gatineau,580,4623,7.97,6385,11.01,2755,18,2043,8.30,15824,27.28,2014
ICI Ottawa Gatineau,578,2117,3.66,4005,6.93,2533,0,1301,6.63,9956,17.22,2013
ICI Québec,580,99658,171.82,116922,201.59,18244,8520,15361,72.63,258705,446.04,2017
ICI Québec,575,117191,203.81,71945,125.12,11615,7888,9123,49.78,217762,378.72,2016
ICI Québec,593,18429,31.08,15110,25.48,2621,888,2153,9.55,39201,66.11,2015
ICI Québec,596,3969,6.66,5453,9.15,994,207,582,2.99,11205,18.80,2014
ICI Québec,266,467,1.76,1041,3.91,223,0,83,1.15,1814,6.82,2013
